"name";"lat";"lng";"postal_code";"population"
"North Chatham, NY";42.4705;-73.63;"";319
"Northville, NY";43.2662;-74.2288;"";3714
"Old Chatham, NY";42.4357;-73.5545;"";716
"Pattersonville, NY";42.8499;-74.1231;"";1904
"Petersburg, NY";42.7495;-73.3401;"";3327
"Piseco, NY";43.4481;-74.5263;"";278
"Poestenkill, NY";42.6918;-73.5627;"";1464
"Ravena, NY";42.4754;-73.822;"";4790
"Rensselaer, NY";42.6359;-73.7219;"";19622
"Rensselaerville, NY";42.5133;-74.1474;"";591
"Rexford, NY";42.8524;-73.8701;"";4449
"Richmondville, NY";42.6424;-74.571;"";2425
"Rotterdam Junction, NY";42.8745;-74.0465;"";890
"Round Lake, NY";42.9247;-73.7859;"";660
"Sand Lake, NY";42.6379;-73.4989;"";1038
"Schaghticoke, NY";42.9144;-73.6154;"";2639
"Schenevus, NY";42.59;-74.8149;"";1980
"Schodack Landing, NY";42.4816;-73.748;"";1132
"Schoharie, NY";42.6615;-74.3047;"";3951
"Selkirk, NY";42.5486;-73.8129;"";7090
"Slingerlands, NY";42.6485;-73.8711;"";7968
"Sloansville, NY";42.7599;-74.3642;"";946
"South Bethlehem, NY";42.5317;-73.8473;"";77
"Speculator, NY";43.5042;-74.3667;"";417
"Spencertown, NY";42.3091;-73.5008;"";156
"Sprakers, NY";42.8484;-74.4536;"";1250
"Stamford, NY";42.4174;-74.6098;"";2946
"Stephentown, NY";42.567102;-73.394694;"";2273
"Stillwater, NY";43.0019;-73.6609;"";4915
"Stottville, NY";42.2857;-73.7335;"";294
"Stuyvesant, NY";42.3596;-73.7613;"";1816
"Stuyvesant Falls, NY";42.344;-73.7348;"";322
"Summit, NY";42.535;-74.5452;"";573
"Surprise, NY";42.3851;-73.9587;"";294
"Tribes Hill, NY";42.95;-74.297;"";420
"Troy, NY";42.749076;-73.675326;"";70736
"Valatie, NY";42.4321;-73.6683;"";6800
"Valley Falls, NY";42.8855;-73.5437;"";2404
"Voorheesville, NY";42.6431;-73.9448;"";6407
"Warnerville, NY";42.5923;-74.4381;"";391
"Waterford, NY";42.81;-73.6995;"";10944
"Watervliet, NY";42.7298;-73.7123;"";17749
"Wells, NY";43.4012;-74.2886;"";1028
"West Coxsackie, NY";42.4029;-73.8283;"";2018
"Westerlo, NY";42.5156;-74.0394;"";1945
"West Fulton, NY";42.5506;-74.4631;"";138
"West Lebanon, NY";42.4862;-73.4662;"";170
"West Sand Lake, NY";42.638;-73.6109;"";3522
"Worcester, NY";42.6049;-74.7299;"";2265
"Wynantskill, NY";42.6878;-73.6383;"";8307
"Albany, NY";42.6586;-73.763794;"";151364
"Schenectady, NY";42.813309;-73.948137;"";161737
"Kingston, NY";41.948355;-74.032088;"";34661
"Accord, NY";41.8083;-74.2353;"";3576
"Acra, NY";42.3304;-74.0857;"";559
"Arkville, NY";42.1417;-74.5721;"";945
"Ashland, NY";42.3037;-74.3335;"";164
"Bearsville, NY";42.0406;-74.1551;"";700
"Big Indian, NY";42.074;-74.453;"";504
"Bloomington, NY";41.8752;-74.0436;"";355
"Boiceville, NY";42.0048;-74.2658;"";520
"Cairo, NY";42.3096;-74.0115;"";2910
"Catskill, NY";42.2276;-73.8985;"";10193
"Chichester, NY";42.095;-74.2717;"";168
"Connelly, NY";41.9076;-73.9893;"";614
"Cornwallville, NY";42.3629;-74.1631;"";439
"Cottekill, NY";41.8467;-74.1038;"";641
"Cragsmoor, NY";41.6698;-74.3801;"";424
"Denver, NY";42.2522;-74.5407;"";324
"Durham, NY";42.402;-74.1849;"";353
"East Durham, NY";42.386;-74.1117;"";1109
"East Jewett, NY";42.2469;-74.1353;"";225
"Elka Park, NY";42.1643;-74.1245;"";593
"Ellenville, NY";41.7218;-74.4141;"";6860
"Esopus, NY";41.8279;-73.9651;"";334
"Fleischmanns, NY";42.1772;-74.5473;"";1036
"Freehold, NY";42.3815;-74.0623;"";1272
"Glasco, NY";42.0437;-73.9474;"";615
"Glenford, NY";42.0053;-74.1532;"";543
"Grand Gorge, NY";42.362;-74.494;"";550
"Greenfield Park, NY";41.7281;-74.5201;"";366
"Haines Falls, NY";42.1955;-74.1023;"";233
"Halcottsville, NY";42.2079;-74.6012;"";52
"Hensonville, NY";42.2898;-74.2165;"";333
"High Falls, NY";41.8167;-74.1311;"";2127
"Highmount, NY";42.1443;-74.4899;"";30
"Hunter, NY";42.2333;-74.2416;"";667
"Hurley, NY";41.9327;-74.0687;"";3674
"Jewett, NY";42.2694;-74.2793;"";380
"Kerhonkson, NY";41.7939;-74.3035;"";4837
"Lake Hill, NY";42.0733;-74.2123;"";465
"Lake Katrine, NY";41.9918;-73.9924;"";3315
"Lanesville, NY";42.1332;-74.2443;"";170
"Leeds, NY";42.3045;-73.9457;"";1861
"Lexington, NY";42.2404;-74.3654;"";248
"Malden On Hudson, NY";42.0987;-73.9354;"";302
"Maplecrest, NY";42.2995;-74.1655;"";301
"Margaretville, NY";42.1852;-74.6178;"";1877
"Mount Marion, NY";42.0357;-74.0002;"";716
"Mount Tremper, NY";42.0435;-74.2485;"";802
"Napanoch, NY";41.759;-74.3804;"";2991
"New Kingston, NY";42.2094;-74.6837;"";157
"Oak Hill, NY";42.4098;-74.1524;"";344
"Olivebridge, NY";41.875;-74.2734;"";1811
"Palenville, NY";42.1729;-74.0167;"";1398
"Phoenicia, NY";42.0848;-74.3154;"";808
"Pine Hill, NY";42.1331;-74.4802;"";296
"Port Ewen, NY";41.8948;-73.9767;"";2260
"Prattsville, NY";42.2979;-74.3895;"";1133
"Preston Hollow, NY";42.4563;-74.242;"";776
"Purling, NY";42.2959;-74.0773;"";474
"Rifton, NY";41.8403;-74.0306;"";495
"Rosendale, NY";41.8402;-74.073;"";1419
"Round Top, NY";42.2678;-74.0523;"";1126
"Roxbury, NY";42.2957;-74.5631;"";1250
"Ruby, NY";42.0176;-74.0079;"";165
"Saugerties, NY";42.0738;-73.9797;"";18722
"Shandaken, NY";42.1363;-74.3774;"";798
"Shokan, NY";41.9767;-74.2119;"";1361
